round,match_date,home_team,guest_team,stadium,date_added,score_home_team,score_guest_team,winning_team,is_weekend,match_period,day_of_week,home_team_wins_last_5,home_team_draws_last_5,home_team_loses_last_5,guest_team_wins_last_5,guest_team_draws_last_5,guest_team_loses_last_5
Rodada 11,2024-06-23 18:30:00,Bragantino,Vitória,Nabi Abi Chedid,2025-05-21 21:28:50.206132,2,1,home,True,night,Sunday,2,0,3,2,2,1
Rodada 11,2024-06-23 18:30:00,Palmeiras,Juventude,Arena Palmeiras,2025-05-21 21:28:50.176050,3,1,home,True,night,Sunday,4,0,1,2,2,1
Rodada 11,2024-06-23 18:30:00,Atlético-MG,Fortaleza,Arena MRV,2025-05-21 21:28:50.143858,1,1,draw,True,night,Sunday,1,2,2,2,1,2
Rodada 12,2024-06-26 19:00:00,Cruzeiro,Athletico-PR,Mineirão,2025-05-21 21:28:51.089108,2,0,home,False,night,Wednesday,2,1,2,1,3,1
Rodada 12,2024-06-26 19:00:00,Botafogo,Bragantino,Nilton Santos (Engenhão),2025-05-21 21:28:51.106280,2,1,home,False,night,Wednesday,3,1,1,3,0,2
Rodada 12,2024-06-26 20:00:00,Atlético-GO,Grêmio,Antônio Accioly,2025-05-21 21:28:51.171646,1,1,draw,False,night,Wednesday,1,2,2,0,0,5
Rodada 12,2024-06-26 20:00:00,Corinthians,Cuiabá,Arena Corinthians,2025-05-21 21:28:51.144479,1,1,draw,False,night,Wednesday,0,3,2,3,1,1
Rodada 12,2024-06-26 20:00:00,Juventude,Flamengo,Alfredo Jaconi,2025-05-21 21:28:51.206600,2,1,home,False,night,Wednesday,2,1,2,4,1,0
Rodada 12,2024-06-26 21:30:00,Fortaleza,Palmeiras,Castelão (CE),2025-05-21 21:28:51.329601,3,0,home,False,night,Wednesday,2,1,2,5,0,0
Rodada 12,2024-06-26 21:30:00,Internacional,Atlético-MG,Heriberto Hülse,2025-05-21 21:28:51.244090,1,2,guest,False,night,Wednesday,3,1,1,1,2,2
Rodada 12,2024-06-26 21:30:00,Bahia,Vasco,Fonte Nova,2025-05-21 21:28:51.297105,2,1,home,False,night,Wednesday,2,2,1,1,1,3
Rodada 12,2024-06-27 19:00:00,Fluminense,Vitória,Maracanã,2025-05-21 21:28:51.360958,0,1,guest,False,night,Thursday,0,1,4,2,2,1
Rodada 12,2024-06-27 20:00:00,São Paulo,Criciúma,Morumbi,2025-05-21 21:28:51.390516,2,1,home,False,night,Thursday,1,2,2,2,1,2
Rodada 13,2024-06-29 18:30:00,Vasco,Botafogo,São Januário,2025-05-21 21:28:52.320191,1,1,draw,True,night,Saturday,1,1,3,3,1,1
Rodada 13,2024-06-29 18:30:00,Cuiabá,Bragantino,Arena Pantanal,2025-05-21 21:28:52.326349,1,1,draw,True,night,Saturday,2,2,1,2,0,3
Rodada 13,2024-06-30 11:00:00,Atlético-MG,Atlético-GO,Arena MRV,2025-05-21 21:28:52.356825,1,1,draw,True,morning,Sunday,2,1,2,1,3,1
Rodada 13,2024-06-30 16:00:00,Fortaleza,Juventude,Castelão (CE),2025-05-21 21:28:52.450820,2,1,home,True,afternoon,Sunday,2,1,2,2,1,2
Rodada 13,2024-06-30 16:00:00,Grêmio,Fluminense,Centenário,2025-05-21 21:28:52.390158,1,0,home,True,afternoon,Sunday,0,1,4,0,0,5
Rodada 13,2024-06-30 16:00:00,São Paulo,Bahia,Morumbi,2025-05-21 21:28:52.422213,3,1,home,True,afternoon,Sunday,1,2,2,3,1,1
Rodada 13,2024-06-30 18:30:00,Vitória,Athletico-PR,Barradão,2025-05-21 21:28:52.472967,0,1,guest,True,night,Sunday,3,1,1,1,3,1
Rodada 13,2024-06-30 18:30:00,Flamengo,Cruzeiro,Maracanã,2025-05-21 21:28:52.503758,2,1,home,True,night,Sunday,3,1,1,3,1,1
Rodada 13,2024-06-30 18:30:00,Criciúma,Internacional,Heriberto Hülse,2025-05-21 21:28:52.541999,1,1,draw,True,night,Sunday,2,1,2,2,1,2
Rodada 13,2024-07-01 20:00:00,Palmeiras,Corinthians,Arena Palmeiras,2025-05-21 21:28:52.572137,2,0,home,False,night,Monday,4,0,1,0,4,1
Rodada 14,2024-07-03 19:00:00,Cuiabá,Botafogo,Arena Pantanal,2025-05-21 21:28:53.318627,1,2,guest,False,night,Wednesday,2,3,0,2,2,1
Rodada 14,2024-07-03 20:00:00,Vasco,Fortaleza,São Januário,2025-05-21 21:28:53.324879,2,0,home,False,night,Wednesday,1,2,2,3,1,1
Rodada 14,2024-07-03 20:00:00,Criciúma,Cruzeiro,Heriberto Hülse,2025-05-21 21:28:53.352822,1,0,home,False,night,Wednesday,2,2,1,2,1,2
Rodada 14,2024-07-03 21:30:00,Atlético-MG,Flamengo,Arena MRV,2025-05-21 21:28:53.385292,2,4,guest,False,night,Wednesday,1,2,2,3,1,1
Rodada 14,2024-07-03 21:30:00,Bragantino,Atlético-GO,Nabi Abi Chedid,2025-05-21 21:28:53.408135,3,1,home,False,night,Wednesday,2,1,2,1,3,1
Rodada 14,2024-07-03 21:30:00,Athletico-PR,São Paulo,Arena da Baixada,2025-05-21 21:28:53.438014,1,2,guest,False,night,Wednesday,1,3,1,2,1,2
Rodada 14,2024-07-04 19:00:00,Bahia,Juventude,Fonte Nova,2025-05-21 21:28:53.501413,2,0,home,False,night,Thursday,2,1,2,2,0,3
Rodada 14,2024-07-04 19:00:00,Grêmio,Palmeiras,Centenário,2025-05-21 21:28:53.469550,2,2,draw,False,night,Thursday,1,1,3,4,0,1
Rodada 14,2024-07-04 20:00:00,Corinthians,Vitória,Arena Corinthians,2025-05-21 21:28:53.552517,3,2,home,False,night,Thursday,0,3,2,3,0,2
Rodada 14,2024-07-04 20:00:00,Fluminense,Internacional,Maracanã,2025-05-21 21:28:53.525099,1,1,draw,False,night,Thursday,0,0,5,2,1,2
Rodada 15,2024-07-06 20:00:00,São Paulo,Bragantino,Morumbi,2025-05-21 21:28:54.369689,2,0,home,True,night,Saturday,3,0,2,2,1,2
Rodada 15,2024-07-06 20:00:00,Flamengo,Cuiabá,Maracanã,2025-05-21 21:28:54.351600,1,1,draw,True,night,Saturday,4,0,1,1,3,1
Rodada 15,2024-07-07 16:00:00,Cruzeiro,Corinthians,Mineirão,2025-05-21 21:28:54.404246,3,0,home,True,afternoon,Sunday,2,0,3,1,2,2
Rodada 15,2024-07-07 16:00:00,Juventude,Grêmio,Alfredo Jaconi,2025-05-21 21:28:54.468513,3,0,home,True,afternoon,Sunday,2,0,3,1,2,2
Rodada 15,2024-07-07 16:00:00,Fortaleza,Fluminense,Castelão (CE),2025-05-21 21:28:54.444350,1,0,home,True,afternoon,Sunday,3,1,1,0,1,4
Rodada 15,2024-07-07 18:00:00,Internacional,Vasco,Beira-Rio,2025-05-21 21:28:54.502808,1,2,guest,True,night,Sunday,2,2,1,2,1,2
Rodada 15,2024-07-07 18:30:00,Atlético-GO,Athletico-PR,Antônio Accioly,2025-05-21 21:28:54.600610,1,2,guest,True,night,Sunday,0,3,2,1,2,2
Rodada 15,2024-07-07 18:30:00,Palmeiras,Bahia,Arena Palmeiras,2025-05-21 21:28:54.568038,2,0,home,True,night,Sunday,3,1,1,3,0,2
Rodada 15,2024-07-07 18:30:00,Vitória,Criciúma,Barradão,2025-05-21 21:28:54.535186,2,1,home,True,night,Sunday,2,0,3,3,1,1
Rodada 15,2024-07-07 20:30:00,Botafogo,Atlético-MG,Nilton Santos (Engenhão),2025-05-21 21:28:54.617776,3,0,home,True,night,Sunday,2,2,1,1,2,2
Rodada 16,2024-07-10 18:30:00,Grêmio,Cruzeiro,Centenário,2025-05-21 21:28:55.368364,0,2,guest,False,night,Wednesday,1,2,2,2,0,3
Rodada 16,2024-07-10 19:00:00,Athletico-PR,Bahia,Arena da Baixada,2025-05-21 21:28:55.400274,1,3,guest,False,night,Wednesday,2,1,2,3,0,2
Rodada 16,2024-07-10 19:00:00,Vasco,Corinthians,São Januário,2025-05-21 21:28:55.381501,2,0,home,False,night,Wednesday,3,1,1,1,2,2
Rodada 16,2024-07-11 19:30:00,Palmeiras,Atlético-GO,Arena Palmeiras,2025-05-21 21:28:55.436554,3,1,home,False,night,Thursday,3,1,1,0,3,2
Rodada 16,2024-07-11 20:00:00,Flamengo,Fortaleza,Maracanã,2025-05-21 21:28:55.470887,1,2,guest,False,night,Thursday,3,1,1,3,1,1
Rodada 16,2024-07-11 20:00:00,Criciúma,Fluminense,Heriberto Hülse,2025-05-21 21:28:55.502045,1,1,draw,False,night,Thursday,2,1,2,0,1,4
Rodada 16,2024-07-11 21:30:00,Vitória,Botafogo,Barradão,2025-05-21 21:28:55.565426,0,1,guest,False,night,Thursday,2,0,3,3,1,1
Rodada 16,2024-07-11 21:30:00,Atlético-MG,São Paulo,Arena MRV,2025-05-21 21:28:55.537607,2,1,home,False,night,Thursday,1,2,2,4,0,1
Rodada 17,2024-07-13 16:00:00,Cruzeiro,Bragantino,Independência,2025-05-21 21:28:56.298147,2,1,home,True,afternoon,Saturday,3,0,2,2,1,2
Rodada 17,2024-07-13 16:00:00,Bahia,Cuiabá,Fonte Nova,2025-05-21 21:28:56.312144,1,2,guest,True,afternoon,Saturday,3,0,2,0,4,1
Rodada 17,2024-07-16 19:00:00,Juventude,Atlético-MG,Mané Garrincha,2025-05-21 21:28:56.342967,1,1,draw,False,night,Tuesday,2,0,3,2,1,2
Rodada 17,2024-07-16 21:00:00,Corinthians,Criciúma,Arena Corinthians,2025-05-21 21:28:56.369150,2,1,home,False,night,Tuesday,1,1,3,1,2,2
Rodada 17,2024-07-17 19:00:00,Atlético-GO,Vasco,Antônio Accioly,2025-05-21 21:28:56.405326,0,1,guest,False,night,Wednesday,0,2,3,3,1,1
Rodada 17,2024-07-17 20:00:00,São Paulo,Grêmio,Morumbi,2025-05-21 21:28:56.450531,1,0,home,False,night,Wednesday,4,0,1,1,2,2
Rodada 17,2024-07-17 21:30:00,Fortaleza,Vitória,Castelão (CE),2025-05-21 21:28:56.503682,3,1,home,False,night,Wednesday,4,0,1,2,0,3
Rodada 17,2024-07-17 21:30:00,Botafogo,Palmeiras,Nilton Santos (Engenhão),2025-05-21 21:28:56.472916,1,0,home,False,night,Wednesday,4,1,0,3,1,1
Rodada 18,2024-07-20 16:00:00,Flamengo,Criciúma,Mané Garrincha,2025-05-21 21:28:57.448441,2,1,home,True,afternoon,Saturday,2,1,2,1,2,2
Rodada 18,2024-07-20 18:30:00,Botafogo,Internacional,Nilton Santos (Engenhão),2025-05-21 21:28:57.468724,1,0,home,True,night,Saturday,4,1,0,1,2,2
Rodada 18,2024-07-20 21:00:00,Palmeiras,Cruzeiro,Arena Palmeiras,2025-05-21 21:28:57.498606,2,0,home,True,night,Saturday,3,1,1,3,0,2
Rodada 18,2024-07-21 11:00:00,Grêmio,Vitória,Centenário,2025-05-21 21:28:57.532573,2,0,home,True,morning,Sunday,1,1,3,1,0,4
Rodada 18,2024-07-21 16:00:00,Atlético-MG,Vasco,Arena MRV,2025-05-21 21:28:57.567058,2,0,home,True,afternoon,Sunday,1,2,2,4,1,0
Rodada 18,2024-07-21 16:00:00,Bahia,Corinthians,Fonte Nova,2025-05-21 21:28:57.601198,0,1,guest,True,afternoon,Sunday,2,0,3,2,0,3
